name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Rumex crispus,http://www.worldfloraonline.org/taxon/wfo-0000403671,na,Polygonaceae,herb,NA,NA,NA,no,3811
Rumex obtusifolius,http://www.worldfloraonline.org/taxon/wfo-0000403904,na,Polygonaceae,herb,NA,NA,NA,no,3811
Salix cinerea,http://www.worldfloraonline.org/taxon/wfo-0000929149,NA,Salicaceae,tree,NA,NA,NA,no,0
Salvia nemorosa,http://www.worldfloraonline.org/taxon/wfo-0000301687,na,Lamiaceae,herb,NA,NA,2,no,3541
Salvia pratensis,http://www.worldfloraonline.org/taxon/wfo-0000301989,na,Lamiaceae,herb,NA,V,NA,no,5300
Sanguisorba minor,http://www.worldfloraonline.org/taxon/wfo-0001015888,na,Rosaceae,herb,NA,NA,NA,no,5300
Sanguisorba officinalis,http://www.worldfloraonline.org/taxon/wfo-0000983287,na,Rosaceae,herb,NA,V,NA,no,5400
Saponaria officinalis,http://www.worldfloraonline.org/taxon/wfo-0000438211,na,Caryophyllaceae,herb,NA,NA,NA,no,3611
Scabiosa columbaria,http://www.worldfloraonline.org/taxon/wfo-0000500277,na,Caprifoliaceae,herb,NA,NA,NA,no,5320
Scrophularia umbrosa,http://www.worldfloraonline.org/taxon/wfo-0000496178,na,Scrophulariaceae,herb,NA,NA,NA,no,3521
