name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n
Parthenocissus_inserta,http://www.worldfloraonline.org/taxon/wfo-0000476975,na,Vitaceae,liana,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA
Persicaria_amphibia,http://www.worldfloraonline.org/taxon/wfo-0000488056,Polygonum_amphibium,Polygonaceae,herb,NA,NA,NA,no,1312,7,6,NA,11,NA,6,4
Peucedanum_officinale,http://www.worldfloraonline.org/taxon/wfo-0000391810,na,Apiaceae,herb,NA,3,2,no,8423,7,7,5,4,1,8,2
Peucedanum_oreoselinum,http://www.worldfloraonline.org/taxon/wfo-0000391827,na,Apiaceae,herb,NA,V,NA,no,6112,6,6,4,3,NA,6,2
Phalaris_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000889610,na,Poaceae,top-grass,NA,NA,NA,no,1510,7,5,NA,9,2,7,7
Phleum_phleoides,http://www.worldfloraonline.org/taxon/wfo-0000890086,na,Poaceae,top-grass,NA,V,NA,no,5300,8,6,7,3,NA,8,2
Phleum_pratense,http://www.worldfloraonline.org/taxon/wfo-0000890092,na,Poaceae,top-grass,NA,NA,NA,no,5423,7,NA,5,5,NA,NA,6
Phyteuma_spicatum,http://www.worldfloraonline.org/taxon/wfo-0000816739,na,Poaceae,top-grass,NA,NA,NA,no,8430,NA,NA,4,5,NA,6,5
Pilosella_caespitosa,http://www.worldfloraonline.org/taxon/wfo-0000118413,Hieracium_caespitosum,Asteraceae,herb,NA,V,3,no,5000,8,5,6,7,1,7,3
Pilosella_officinarum,http://www.worldfloraonline.org/taxon/wfo-0000068649,Hieracium_pilosella,Asteraceae,herb,NA,NA,NA,no,5000,7,NA,3,4,NA,NA,2
